Competition,Location,Active,Region,Email,2017,2018,2019,2020,2021,Comment,2021 Date,Latitude,Longitude,,,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
A-Town Showdown ,"Atlanta, GA",Y,SE,director@atownshowdown.org ,LB,L,LB,LB,,,,33.771297,-84.393503,L,Legends Partner,33.759412,-84.335664,0.2,street_center,,New St NE,,,Atlanta,GA,DeKalb County,30307,US,TIGER/Line® dataset from the US Census Bureau
Aa Dekhen Zara (ADZ),"Madison, WI",Y,MW,adzentertainment@gmail.com,,,W,LB,,,,43.073051,-89.40123,B,BA Signature,43.06956,-89.423861,1,place,,,,,Madison,WI,Dane County,53701,US,TIGER/Line® dataset from the US Census Bureau
Aag Ki Raat,"Columbia, SC",Y,SE,uscakr@gmail.com,,,L,L,,,,34.00071,-81.034813,W,BA Wildcard,33.987454,-81.024864,1,place,,,,,Columbia,SC,Richland County,29201,US,TIGER/Line® dataset from the US Census Bureau
Aaj Ka Dhamaka,"Chapel Hill, NC",Y,SE,uncakd@gmail.com,,,LW,LB,,,,35.910259,-79.055473,NE,Northeast,36.004647,-79.054475,1,place,,,,,Chapel Hill,NC,Orange County,27514,US,TIGER/Line® dataset from the US Census Bureau
Aaja Nachle,"Dallas, TX",Y,S,utdaajanachle@gmail.com,LB,,LB,LB,,,,32.776665,-96.796989,MW,Midwest,32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Buckeye Mela,"Columbus, OH",Y,MW,exec@buckeyemela.com,LB,L,LB,LB,,,,39.961178,-82.998795,SE,Southeast,40.100924,-83.013402,1,place,,,,,Columbus,OH,Franklin County,43085,US,TIGER/Line® dataset from the US Census Bureau
Infusion ,"State College, PA",Y,NE,pennstateinfusion@gmail.com,LB,L,LB,LB,,,,40.798214,-77.859909,WC,West Coast,40.77893,-77.841359,1,place,,,,,State College,PA,Centre County,16801,US,TIGER/Line® dataset from the US Census Bureau
Jazba,"Minneapolis, MN",Y,MW,jazba@umn.edu,LB,L,LB,LB,,,,44.9778,93.265,TX,Texas,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,Hennepin County,55401,US,TIGER/Line® dataset from the US Census Bureau
Jhalak,"Austin, TX",Y,S,jhalak@utexas-ica.com,LB,L,LB,LB,,,,30.2672,97.7431,,,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Jhoomti Shaam,"Los Angeles, CA",Y,WC,jhoomtishaam@gmail.com,LB,L,LB,LB,,,,34.0522,118.2437,,,33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Maryland Minza,"College Park, MD",Y,NE,marylandminza@gmail.com,,,LB,LB,,,,38.9897,76.9378,,,39.002867,-76.931652,1,place,,,,,College Park,MD,Prince George's County,20740,US,TIGER/Line® dataset from the US Census Bureau
Midwest Dhamaka,"Cincinnati, OH",Y,MW,registration@midwestdhamaka.com,LB,L,LB,LB,,,,39.1031,84.512,,,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Nachte Raho,"Iowa City, IA",Y,MW,nachteraho@gmail.com,L,L,LW,LW,,,,41.6611,91.5302,,,41.634209,-91.49905,1,place,,,,,Iowa City,IA,Johnson County,52240,US,TIGER/Line® dataset from the US Census Bureau
Oak City Revolution,"Raleigh, NC",Y,SE,oakcityrevolution@ektaa.org,,,LB,LB,,,,35.7796,78.6382,,,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,US,TIGER/Line® dataset from the US Census Bureau
