Team,"Name of University (If Applicable)",Address,"M/F or Coed","Team Email:",Active,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"AKH Mastani","Texas A&M University","College Station, TX",Coed,akhmastani.tamu@gmail.com,Y,30.609093,-96.325984,1,place,,,,,"College Station",TX,"Brazos County",77840,US,"TIGER/Line® dataset from the US Census Bureau"
"Alabama Apsara","University of Alabama","Birmingham, AL",F,alapsara16@gmail.com,Y,33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"ASU Andaaz","Arizona State University","Tempe, AZ",Coed,asuandaaz@gmail.com,Y,33.401395,-111.931298,1,place,,,,,Tempe,AZ,"Maricopa County",85280,US,"TIGER/Line® dataset from the US Census Bureau"
"ATL Insaafi","Georgia Institute of Technology, Georgia State University, Kennesaw State University ","Atlanta, GA ",Coed,atl.insaafi@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"ATL Satrangi","Georgia Institute of Technology, Emory University","Atlanta, GA",F,team.satrangi@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"ATL Tanishq","Georgia Institute of Technology, Georgia State University, Emory University ","Atlanta, GA",F,atltanishq@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"AU Jhatka","Augusta Univerity","Augusta, GA",Coed,grujhatka@gmail.com,Y,33.456687,-81.969184,1,place,,,,,Augusta,GA,"Richmond County",30901,US,"TIGER/Line® dataset from the US Census Bureau"
"AU Sapna","Adelphi University","Garden City, NY",Coed,"adelphisapna@gmail.com,",Y,40.726801,-73.639723,1,place,,,,,"Garden City",NY,"Nassau County",11530,US,"TIGER/Line® dataset from the US Census Bureau"
"Baylor Taal","Baylor University","Waco, TX",F,baylortaal@gmail.com,Y,31.552011,-97.1382,1,place,,,,,Waco,TX,"McLennan County",76701,US,"TIGER/Line® dataset from the US Census Bureau"
"BC Masti","Boston College","Boston, MA",Coed,bc.masti@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"Binghamton Masti","State University of New York - Binghamton","Binghamton, NY",F,masti@binghamtonsa.org,Y,42.165629,-75.890685,1,place,,,,,Binghamton,NY,"Broome County",13901,US,"TIGER/Line® dataset from the US Census Bureau"
"Boston Bollywood Xtreme",-,"Boston, MA",Coed,,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"Broad Street Baadshahz",-,"Philadelphia,PA ",M,baadshah.ent@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Brown Badmaash","Brown University","Providence, RI",Coed,brownbadmaash@gmail.com,Y,41.82275,-71.414451,1,place,,,,,Providence,RI,"Providence County",02901,US,"TIGER/Line® dataset from the US Census Bureau"
"BU Chankaar","Boston University","Boston, MA",F,chankaar@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"BU Jalwa","Boston University","Boston, MA",Coed,jalwabu@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"BU KhaTarnaK","Boston University","Boston, MA","M ",khatarnak.bu@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"Buckeye Fusion","Ohio State University","Columbus, OH ",F,buckeyefusion@gmail.com,Y,40.100924,-83.013402,1,place,,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"Buffalo Zeal","University of Buffalo","Buffalo, NY",F,ubzeal@gmail.com,Y,42.89606,-78.886424,1,place,,,,,Buffalo,NY,"Erie County",14201,US,"TIGER/Line® dataset from the US Census Bureau"
"Bulls Nakhra","University of South Florida","Tampa, FL ",Coed,bullsnakhra@gmail.com,Y,27.996097,-82.582035,1,place,,,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"Case Kismat","Case Western Reserve University","Cleveland, OH",Coed,casekismatexec@gmail.com,Y,41.489381,-81.667486,1,place,,,,,Cleveland,OH,"Cuyahoga County",44101,US,"TIGER/Line® dataset from the US Census Bureau"
"Chicago Adaa",-,"Chicago, IL",Coed,chicagoadaa@gmail.com,Y,41.88531,-87.62213,1,place,,,,,Chicago,IL,"Cook County",60601,US,"TIGER/Line® dataset from the US Census Bureau"
"Clemson Dholna","Clemson University","Clemson, SC",Coed,clemsondholna@gmail.com,Y,34.681567,-82.815832,1,place,,,,,Clemson,SC,"Pickens County",29631,US,"TIGER/Line® dataset from the US Census Bureau"
"CMU Jiya","Carnegie Mellon University","Pittsburgh, PA, ",F,cmu.jiya@gmail.com,Y,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"CMU Sahara","Carnegie Mellon University","Pittsburgh, PA, ",Coed,cmusahara@gmail.com,Y,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"Columbia Dhoom","Columbia University","New York City, NY",Coed,cudhoom@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Columbia Taal","Columbia University","New York City, NY",F,taal@columbia.edu,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
