Team Name,ID,Owner,Created Date,Updated Date,Team Logo,Gallery,Short Description,College,Projects (Team Name),Elo,Next Comp,Team Site Link
Michigan Manzil,29a5c811-ba62-4790-9beb-375442efce8e,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-11T13:59:31Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_afc8d4b1ebc24787b45f251eefb8e90d~mv2.png/Michigan%20Manzil.png#originWidth=1000&originHeight=1000,,MICHIGAN MANZIL is the University of Michigan's Premiere CO-ED Bollywood/Filmi Team. We pride ourselves in incorporating the ever so famous bollywood dance styles into our routines.,University of Michigan,/compteams/Michigan-Manzil,1014.86,,https://www.legends.desidancenetwork.org/compteams/Michigan-Manzil
Drexel Jhalak,5f256272-d95c-4ea2-9abb-c7c7184b91d7,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-11T13:59:30Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_75ed2ad67126425f8be27495e6316a9f~mv2.png/Drexel%20Jhalak.png#originWidth=1000&originHeight=1000,,Drexel Jhalak is Philadelphia's premier all-female Fusion Indian dance team! Jhalak fuses classical Indian dance along with various other styles of dance to perform award-winning routines.,Drexel University,/compteams/Drexel-Jhalak,1023.728,,https://www.legends.desidancenetwork.org/compteams/Drexel-Jhalak
Broad Street Baadshahz,4ac9a95c-1b23-4f8f-92a6-beea3408c70e,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-11T13:59:29Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_45aca762f8f5425bbad8209ae9868265~mv2.png/Broad%20Street%20Baadshahz.png#originWidth=1000&originHeight=1000,,"The BROAD STREET BAADSHAHZ are an all male award winning South Asian Fusion Dance Team, located in the city of brotherly love, Philadelphia, PA.",Independent - Philadelphia,/compteams/Broad-Street-Baadshahz,1035.959,,https://www.legends.desidancenetwork.org/compteams/Broad-Street-Baadshahz
UCB Azaad,8bf914fc-a3d5-4450-a808-e2028e69817b,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-11T13:55:14Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_adc3730c6b0f49978256596b404c6b53~mv2.png/UCB%20Azaad.png#originWidth=1000&originHeight=1000,,"UCB Azaad, referring to ""independence or freedom"", is excited to bring a fresh, new taste of Bollywood to Berkeley! The team is based on dedication, passion and energy, with the primary goal of creating productions that entertain and motivate audiences to connect with the Bollywood culture.",University of California - Berkeley,/compteams/UCB-Azaad,1043.37,,https://www.legends.desidancenetwork.org/compteams/UCB-Azaad
WashU Chaahat,f797ef16-7e5d-4208-bae9-6644d63308cb,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_8fa4c31135a24f3aa69d9b8df6e28bc8~mv2.png/WashU%20Chaahat.png#originWidth=1000&originHeight=1000,,Washington University's premier and nationally competitive co-ed Bollywood Fusion dance team.,Washington University,/compteams/WashU-Chaahat,1044.486,,https://www.legends.desidancenetwork.org/compteams/WashU-Chaahat
UCD Lashkara,bb2aa808-c512-4d9b-83da-39a446921862,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_5bc41398c0f04e38855e3501a029b503~mv2.png/UCD%20Lashkara.png#originWidth=1000&originHeight=1000,,"The University of California, Davis’ Hindi Film Dance Team, Lashkara, meaning the spark of light, is an intercollegiate competitive group that strongly values leadership, responsibility, and excellence both academically and on stage",University of California - Davis,/compteams/UCD-Lashkara,1037.176,,https://www.legends.desidancenetwork.org/compteams/UCD-Lashkara
UCSC Kahaani,4f358c94-7e56-4eb8-a4a0-63d693aaa9fc,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_450eeb99f37946aba284867ac585c046~mv2.png/UCSC%20Kahaani.png#originWidth=1000&originHeight=1000,,"UCSC Kahaani is the University of Santa Cruz's official Hindi-Film Dance team. Founded in 2015, Kahaani consists of talented dancers who strive to express their passion and love for the art of Bollywood dance through their ""story.""",University of Santa Cruz,/compteams/UCSC-Kahaani,1048.503,,https://www.legends.desidancenetwork.org/compteams/UCSC-Kahaani
UT Nach Baliye,e5da09b6-17ff-4db4-9b9d-0c23233a313e,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_fcabf8657901407086de0eca28b63576~mv2.png/UT%20Nach%20Baliye.png#originWidth=1000&originHeight=1000,,Texas Nach Baliye was founded in 2008 by a group of students who aimed to create a co-ed Bollywood team that would represent the University of Texas across nationwide dance competitions.,University of Texas,/compteams/UT-Nach-Baliye,1005.408,,https://www.legends.desidancenetwork.org/compteams/UT-Nach-Baliye
Chicago Adaa,012a316b-3568-424e-9aec-79d227a763b7,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_c1ecfbd84dde482980c4f16e95362c63~mv2.png/Chicago%20Adaa.png#originWidth=1000&originHeight=1000,,"Chicago Adaa is Chicago's only CoEd Bollywood Fusion dance team that combines dance styles like Bollywood, Bhangra, Hip Hop, and Classical.",Independent - Chicago,/compteams/Chicago-Adaa,1058.227,,https://www.legends.desidancenetwork.org/compteams/Chicago-Adaa
UCLA Nashaa,946df23a-1666-4771-87d5-3de794921160,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_36f4705a961f4bf4a40fb43aab135253~mv2.png/UCLA%20Nashaa.png#originWidth=1000&originHeight=1000,,"UCLA Nashaa is one of the premier Bollywood-Fusion dance teams in the country. Operated completely by students attending The University of California, Los Angeles, Nashaa is an expression of the intoxicating culture, joy, and exuberance that is indicative of the Bollywood genre.",University of California - Los Angeles,/compteams/UCLA-Nashaa,1022.565,,https://www.legends.desidancenetwork.org/compteams/UCLA-Nashaa
ATL Satrangi,44a1c483-270c-4073-bfec-8512e159b10f,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_3d15edfa4ae9465d93fabf5bfa889948~mv2.png/ATL%20Satrangi.png#originWidth=1000&originHeight=1000,,"ATL Satrangi is a female fusion dance team based in Atlanta. Established in 2011, Satrangi strives to create an enjoyable environment for its team members as well as celebrate Indian culture.",Independent - Atlanta,/compteams/ATL-Satrangi,975.042,,https://www.legends.desidancenetwork.org/compteams/ATL-Satrangi
Gator Adaa,a8b36971-a516-4d86-b47e-13e198aa816d,7e345adf-a79e-4486-abc4-01d69375fe9f,2020-03-04T04:55:05Z,2020-03-11T14:08:25Z,wix:image://v1/7e345a_eb26a0c5e2d345379e6768c3d6a86773~mv2.png/Gator%20Adaa.png#originWidth=1000&originHeight=1000,,"Adaa is an all-female fusion dance team that creatively blends cultures and backgrounds through dance. A few styles include Bharatnatyam, Hip Hop, Bhangra and more! Our style is ever-changing since it is contingent on growth and learning. We feed off each other’s energy and knowledge to push ourselves as dancers.",University of Florida,/compteams/Gator-Adaa,1005.815,,https://www.legends.desidancenetwork.org/compteams/Gator-Adaa
